,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
94,4480b. A,𪚰,tsau,tsiɑu,,,焦,tsau,tsiɑu,,,,,,,,,
95,1076b. A,譙,dzau,dziɑu,,,嚼,dziauk,dziɑk,,,,,,,,,
96,669a. B,趫,ɡau,ɡɨɑu,,,蹻,ɡauk,ɡɨɑk,,Coblin does not have final -k for 蹻,,,,,,,
97,5767a. A*,𢑄,???,???,,,燒,ŋhiau or nhiau ?,"śɑu, tśʰɑu",,,,,,,,,
98,4463a. A,熛,piau,piau,,,摽,piau,piau,,,,,,,,,
99,1563b. B,䍮,???,???,,,洮,lhâu,tʰɑu,,,,,,,,,
100,5076b. B,⿳罒淮灬,tsauʔ,tsiauᴮ,,,勦,tsauʔ,tsiauᴮ,,,,,,,,,
101,1342a. A,敽,kauʔ,kɨɑuᴮ,,,矯,kauʔ,kɨɑuᴮ,,,,,,,,,
102,4549b. B,爒,"riau, riauh, riâuh","liɑu(ꟲ), leuꟲ",,,燎,"riau, riauh, riâuh","liɑu(ꟲ), leuꟲ",,,,,,,,,
103,6222a. A,劭,???,???,,,韶,dau,dźɑu,,,,,,,,,
104,4585a. A,𡯧,liaukh,jauꟲ,,,燿,liaukh,jauꟲ,,,,,,,,,
105,3751a.A,䘟,???,???,,,雕,tiû,teu,,,,,,,,,
106,3295a. A,窕,lhiâu,tʰeu,,,挑,lhiâu,tʰeu,,,,,,,,,
107,6384a. A,料,riâu(h) or riû,leu(ꟲ),,,遼,riâu,leu,,,,,,,,,
108,3454b. A,皛,???,???,,,皎,kiâuʔ,keuᴮ,,,,,,,,,
109,2921a. B,㫐,???,???,,,窈,ʔiûʔ,ʔeuᴮ,,,,,,,,,
110,3885a. B,㰾,kiâuʔ,keuᴮ,,,叫,kiûh,keu,,,,,,,,,
111,1013b. A,誧,pâ,pɑ,,,逋,pâ,pɑꟲ,,,,,,,,,
112,2491b. B,模,mâ,mɑ,,,嫫,mâ,mɑ,,,,,,,,,
113,525a. A,𤙛,lâ,dɑ,,,塗,lâ,dɑ,,,,,,,,,
114,2858a. A,䣄,s-la,ziɑ,,,塗,lâ,dɑ,,,,,,,,,
115,6658b. A,酴,???,???,,,盧,râ,lɑ,,,,,,,,,
116,5746b. A,𧇄,râ,lɑ,,,盧,râ,lɑ,,,,,,,,,
117,2102b. B,虘,dzâ,dzɑ,,,䣜,???,???,,,,,,,,,
118,1359a. A,𢾅,dâʔ,dɑᴮ,,,杜,dâʔ,dɑᴮ,,,,,,,,,
119,4130b. A,㢚,râʔ,lɑᴮ,,,鹵,râʔ,lɑᴮ,,,,,,,,,
120,3836a. A,𠑹,kâʔ,kɑᴮ,,,瞽,kâʔ,kɑᴮ,,,,,,,,,
121,679a. A,𧽪,???,???,,,烏,ʔâ,ʔɑ,,,,,,,,,
122,(5227a). A,鱯,"ɡwâ,ɡwâh ",ɣuɑ(ꟲ),,,瓠,"ɡwâ,ɡwâh ",ɣuɑ(ꟲ),,,,,,,,,
123,5457a. A,抯,tsrâ,tṣa,,,樝,tsrâ,tṣa,,,,,,,,,
124,4250a. A,𢑓,ɡrâ,ɡa,,,瑕,ɡrâ,ɡa,,,,,,,,,
125,2419b. A,杇 (actually something more complex),ʔwâ,ʔuɑ,,,華,wrâ or wâ,ɣuɑ,,,,,,,,,
126,2411b. A,椵,kâʔ,kɑᴮ,,,賈,kâʔ,kɑᴮ,,,,,,,,,
127,5914a. B*,䋀,???,???,,,陌,mrâk,mak,,,,,,,,,
128,4424a. A*,狛,???,???,,,蘗,???,???,,,,,泊,bâk,bɑk,,
129,646b. A,唬,???,???,,,暠,???,???,,,,,,,,,
130,3397b. A,襾,—,haᴮ,,,𣇩,—,haᴮ,,,,,,,,,
131,6388a. A*,斜,,ja,,,荼,m-la,źa,,"to scoop, ladle",,,,,,,
132,1913b. A,筡,???,???,,,絮,nhrah ?,ṭʰiɑꟲ,,,,,,,,,
133,2385b. B*,楈,???,???,,,芟,srâm,ṣam,,,,,,,,,
134,908b. A*,𤴙,sra,ṣɑ,,,疏,sra,ṣɑ,,,,,,,,,
135,3710a. C ,裾,"kaʔ, kah",kɨɑ,,,居,"kaʔ, kah",kɨɑ,,,,,,,,,
136,1143b. A,舁,la,jɑ,,,余,la,jɑ,,,,,,,,,
137,5561b. A,嬩,la,jɑ,,,余,la,jɑ,,,,,,,,,
138,4165b. A,㕊,pha,pʰuɑ,,,敷,pha,pʰuɑ,,,,,,,,,
139,1795a. A,膴,maʔ,muɑᴮ,,,謨,mâʔ !,mɑ,,,,,,,,,
140,1464b. A*,䀠,kwakh,kyɑꟲ,,,拘,ko,kuo,,,,,瞿,kwakh,kyɑꟲ,,
141,679b. A,𧾱,ɡo,ɡuo,,,劬,ɡo,ɡuo,,,,,,,,,
142,4770b. A,𢖳,hwa,hyɑ,,,吁,hwa,hyɑ,,,,,,,,,
143,2818a-b. A. alt.,邘,???,???,,,區,kho,kʰuo,,,,,,,,,
144,5544a. A,姐,???,???,,,左,tsâiʔ,tsɑiᴮ,,,,,,,,,
145,4375a. A,𣬕,saʔ,siaᴮ,,,寫,saʔ,siaᴮ,,,,,,,,,
146,1561b. A,羜,draʔ,ḍiɑᴮ,,,煑,taʔ,tśɑᴮ,,,,,,,,,
