阿	ʔa
敕	ṭhɨk
珍	ṭɨn
秩	ḍit
臺	də
登	təŋ
止	tśəʔ
等	təŋʔ
澄	ḍɨŋ ḍaŋ
台	tʰə
苔	də
鄧	dəŋh
鳥	teuʔ
迹	tsiak
常	dźaŋ
徳	tək
對	tuəs
都	tɑ tɔ
通	tʰoŋ
追	ṭui
丑	ṭhuʔ
川	tśuan
菟	tʰɑ tʰɔ tʰa
屠	da
途	dɑ
徒	dɑ
突	tʰuət duət
覩	tɑʔ
津	tsin
筑	ṭuk
築	ṭuk
竹	ṭuk
竺	touk
敦	tuən
綴	ṭyat ṭyas
刀	tɑu
斗	toʔ
妬	tah
杜	dɑʔ
塗	dɑ
聰	tshoŋ
鋭	juas
砥	tśiʔ
速	sok
疾	dzit
礪	lias
于	wɑ
有	wuʔ
宇	wɑʔ
汚	ʔua
烏	ʔa ʔɔ
紆	ʔyɑ
兎	tʰɔ
鵜	dei
卯	mɔuʔ
鸕	lɑ
雲	wun
鬱	ʔut
倭	ʔyai
獲	ɣuak
委	ʔyai ʔyaih
和	ɣuai
涴	ʔuan
王	waŋ
丸	ɣuan
輪	luin
曲	khuok
曰	wat
穢	ʔyas
衞	was wah
惠	ɣues ɣueh
佪	ɣuəi
廻	ɣuəi
慧	ɣues ɣueh
隈	ʔuəi
坐	dzuaiʔ
畫	ɣuɛh ɣuɛk
座	dzuɑih dzuɑiʔ
咲	siauᶜ tsʰiauᶜ
位	wɨs wih
韋	wui
威	ʔui
謂	wus wuh
偉	wiuʔ
萎	ʔyai
井	tsieŋʔ
猪	tra
藺	linh
員	wun wan
呼	ha hah
塢	ʔɑ
乎	ɦa ɣɔ
雄	wuŋ
袁	wan
遠	wanʔ
怨	ʔyanh
弘	ɣuəŋ
雍	ʔuoŋ
越	wat
嗚	ʔa
惋	ʔuanʔ
少	śauʔ śauh
男	nəm
緒	ziaʔ
綬	dźuh
峽	ɡɛp
𠮧	keuh
邪	ja zia
益	ʔiek
耶	ja
夜	jah
也	jaʔ
楊	jaŋ
陽	jaŋ
揚	jaŋ
椰	
揶	
瑘	
掖	jak
養	jaŋʔ
屋	ʔok
箭	tsianh
鹽	jam
延	jan
叡	juas
曳	jas
遥	jau
要	ʔiauh
穎	weŋʔ
兄	hyaŋ
江	kɔŋ
枝	kie
炎	jam
與	ja
餘	ja
余	ja
豫	jah
預	jaʔ
予	jah
譽	ja
由	ju
喩	joh
遊	ju
油	ju
瑜	jo
踰	jo
愈	joʔ
臾	jo
庾	joʔ
弓	kuŋ
湯	tʰaŋ
用	joŋh
欲	jok
容	joŋ
庸	joŋ
𠰩	joŋh
奢	śa
蔵	dzɑŋ
社	dźaʔ
謝	ziah
奘	dẓɑŋh
裝	dẓɑŋh
蹔	
筮	dźas
噬	dźas
士	dẓəʔ
盡	dzinʔ dzinh
慈	dziə
仕	dẓəʔ
茸	ńoŋ
餌	ńəh
深	tśim śim
甚	dźimʔ dźimh
敍	ziɑʔ
存	dzən
序	ziɑʔ
鋤	dẓɑ
鐏	dzuənh
茹	ńɑʔ ńɑh
受	dźuʔ
授	dźuh
聚	dzioʔ dzioh
儒	ńo
孺	ńoh
俗	ziok
