,,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,,,OCM,LHan
84,"ZL, Dazai 19. B",頒,prân,pan,,,,,班,prân,pan,,,,,,,
85,"ZL, Kaogongji, Gongren 248. B",簡,krênʔ,kɛnᴮ,,,,,𢵧,ɡrânʔ,ɡanᴮ,,,,,,,
86,"ZL, Dazai 17. A",聊,riû,leu,,,,,連,ran or ren ?,lian,,,,,,,
87,"ZL, Kaogongji, Baoren 234. A",帴,"dzanʔ, tsan","dzianᴮ, tsian",,,,,翦,tsenʔ,tsianᴮ,,,,,,,
88,"ZL, Kaogongji, Hanren 233. B",惌,ʔonʔ,ʔyɑnᴮ,,,,,宛,ʔonʔ,ʔyɑnᴮ,,,,,,,
89,"ZL, Shìshī 193. B*",辯,brenʔ,bɨanᴮ,,,,,別,bret,bɨat,,,,,,,
90,"ZL, Xiangshi 63. A",連,ranʔ or renʔ ?,lianᴮ,,,,,輦,ranʔ or renʔ ?,lianᴮ,,,,,,,
91,"ZL, Simen 81. A",鍵,ɡanʔ,ɡɨanᴮ,,,,,蹇,kanʔ,kɨanᴮ,,,,,,,
92,"ZL, Jinche 145. B",篆,dronʔ,ḍyanᴮ,,,,,瑑,dronʔ,ḍyanᴮ,,,,,,,
93,"ZL, Sizunyi 109. A",獻,hŋans,hɨɑnꟲ,,,,,儀,ŋai,ŋɨai,,,,,,,
94,"ZL, Sizunyi 109. A",獻,hŋans,hɨɑnꟲ,,,,,犠,hŋai,hɨai,,,,,,,
95,"ZL, Kaogongji, Luren 242. B",絹,kwens,kyenꟲ,,,,,悁,ʔwen,ʔyen,,,,,,,
96,"ZL, Dapu 169. B",窆,prams,pɨamꟲ,,,,,汜,s-lǝʔ,ziəᴮ,,,FOR 汜 COBLIN HAS A TOTALLY DIFFERENT READING,,,,
97,"ZL, Kaogongji, Lunren 224. A*",溓,rêm,lem,,,,,黏,???,???,,,,,,,
98,"ZL, Kaogongji 220. B",函,ɡə̂m,ɡəm,,,,,含,ɡə̂m,ɡəm,,,,,,,
99,"ZL, Sifu 115. A*",淫,ləm,jim,,,,,廞,həm,hɨm,,,,,,,
100,"ZL, Kaogongji 221. D*",泐,rə̂k,lək,,,,,扐,rə̂k,lək,,,,,,,
