#page	num	CH	OJ	OC	LH	EMC	LMC	GO	KN	NOM	SV	SK	LH
13	1	阿	 a	 *ʔâ	 *ʔa	 ʔa		 a	 a	 a	 a	 a
48	85	特	 do	 *də̂k	 dək	 dək	 tɦəək	 doku	 toku	 đực, đựợc	 đặc	 thuk
48	86	耐	 do	 *n̂h	 nəh	 nậih	 ndəj	 nai, nou	 tai, tou	---	 nại	 nay
49	87	迺	 do	 *n̂ʔ	 nəʔ	 nậiʔ	 ndəj	 nai	 dai	---	 nãi	 nay
49	88	頭	 du	 *dô	 do	 dəu		 du	 tu	 đầu	 đầu	 twu
50	89	豆	 du	 *dôh	 doh	 dəuh		 du	 tu	 đậu	 đậu	 twu
51	90	逗	 du	---	 doh	 dəuh	 tɦəw	 du	 tou	 đậu	 đậu	 twu
51	91	圖	 du	 *dâ	 dɑ	 duo	 tɦuə	 du	 to	 đồ	 đồ	 two
52	92	弩	 du	 *nâʔ	 nɑʔ	 nuoʔ	 ndoʔ	 no, nu	 do	 nỗ, nỏ	 nỗ	 nwo
52	93	砮	 du	 *nâ or nâʔ	 nɑ, naʔ	 nuo, nuoʔ	 ndo	 no, nu	 do	---	 nỗ	 nwo
52	94	曇	 dumi, domo	---	 dəm	 dəm		 domu	 ton	---	 đàm	 tam
52	95	土	 dwo	 *thâʔ	 thɑʔ	 thuoʔ		 to	 to	 thổ	 thổ	 thwo, twu
52	96	度	 dwo	 *dakh	 dɑh	 duoh	 tɦuə	 do	 to	 độ, đo, đụ	 độ	 two
53	97	渡	 dwo	 *dakh	 dɑh	 duoh	 tɦuə	 do	 to	 đò	 độ	 two
53	98	奴	 dwo	 *nâ	 nɑ	 nuo	 ndɔ	 nu	 do	 nô, no, nó	 nô	 now
53	99	怒	 dwo	 *nah or *naʔ	 nɑh, naʔ	 nuoh	 ndɔ	 nu	 do	 nộ, nủa, nọ, nua	 nộ	 nwo
54	100	衣	 e	 *ʔəi	 *ʔɨi	 ʔɨj		 e	 i	 y, e, ì	 y, ý	 uy
54	101	愛	 e	 *̂ts	 *ʔəs > ʔəh	 ʔəj	 ʔaj	 ai	 ai	 ái	 ái	 oy
55	102	亞	 e	 *ʔah or *ʔrâh	 ʔah	 ʔaɨ > ʔɛ: SV: á		 a	 a	 á, a		 a
55	103	依	 e	 *ʔəi	 *ʔɨi	 ʔɨj		 e	 i	 y	 y	 uy
55	104	哀	 e	 *ʔ̂i	 *ʔəi	 ʔəj	 ʔaj	 ai	 ai	 ai	 ai	 oy
56	105	埃	 e	 *ə̂	 iə	 ʔəj	 ʔaj	 ai	 ai	 ai	 ai	 ay
