,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,,OCM,LHan,Notes
90,1B.9a. C,壎,hwan,hyɑn,,,熏,hwən,hun,,,,,,
91,1A.11b. B,顓,ton,tśuan,,,專,ton,tśuan,,,,,,
92,4B.2b. E,冕,mranʔ,mɨanᴮ,,,俛,mranʔ,mɨanᴮ,,,,,,
93,4B.2a. C,弁,brans,bɨanꟲ,,,攀,phrân,pʰan,,,,,,
94,2A.1b. E,鹹,grə̂m,gɛm,,,堅,kîn,ken,,,,,,
95,3B.9b. C*,心,səm R!,sim,,,恁,nəmʔ,ńimᴮ,,,,,,
96,2A.4b. E,壬,nəm,ńim,,,任,nəm,ńim,,,,,,to serve
97,1B.10a. B,琴,ɡəm,ɡɨm,,,禁,krəms,kɨmꟲ,,,,,,
98,1B.8a. B,音,ʔəm,ʔɨm,,,飲,ʔəmʔ,ʔɨmᴮ,,,,,,
99,2B.9a. C,學,ɡrûk,ɡɔk,,,覺,krûk,kɔk,,,,,,
100,4B.5b. B*,竹,truk,ṭuk,,,蹙,tsiuk,tsiuk,,,,,,
101,3B.19b. B,叔,nhuk,śuk,,,少,hjauh ?,śɑuꟲ,,,,,,
102,Quewen 6b. E,塾,duk,dźuk,,,熟,duk,dźuk,,,,,,
103,2A.1b. C*,木,môk,mok,,,觸,thok,tśʰok,,,,,,
104,3B.11a. C,木,môk,mok,,,牧,mək,muk,,,,,,
105,3A.7b. B,瀆,lôk,dok,,,濁,drôk,ḍɔk,,,,,,
106,4B.10a. C*,祿,rôk,lok,,,消,sɨau,siɑu,,,,,,
107,3B.14a. B,族,dzôk,dzok,,,湊,tshôh,tsʰoꟲ,,,聚,dzoʔ/ h,dzioᴮ/ꟲ,
108,3A.7a. C,嶽,ŋrôk,ŋɔk,,,捔,???,???,,,,,,
109,4B.15a. C,槨,kwâk,kuɑk,,,廓,khwâk,kʰuɑk,,,,,,
110,1B.10b. E,迫,prâk,pak,,,鎛,pâk,pɑk,,,,,,
111,Quewen 2b. E,柏,prâk,pak,,,迫,prâk,pak,,,,,,
112,3B.19b. E,伯,prâk,pak,,,迫,prâk,pak,,,,,,
113,3A.7a. C,霍,kwâk,kuɑk,,,護,ɡwâkh,ɣuɑꟲ,,,,,,
114,2B.10a. C*,辟,pek,piek,,,積,tsek,tsiek,,,,,,
115,2B.10a. B,辟,pek,piek,,,璧,pek,piek,,,,,,
116,3A.23a. C*,壁,pêk,pek,,,積,tsek,tsiek,,,,,,
117,1B.7a. B,狄,lêk,dek,,,易,lek,jek,,,,,,
118,Quewen 2b. E,栗,rit,lit,,,慄,rit,lit,,,,,,
119,1B.9b. A*,瑟,srit,ṣit,,,嗇,srǝk,"ṣɨk, S ṣək ",,,,,,
120,2A.3b. E*,乙,ʔrət ?,ʔɨt,,,節,tsît,tset,,,,,,
121,2A.4a. B,戌 ,sut or swit,suit,,,滅,met,miat,,,,,,
122,ap. TPYL 692.7b. E,決,kwêt,kuet,,,玦,kwêt,kuet,,,,,,
