,,,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan,OCM,LHan,,OCM,LHan,OCM,LHan
308,215a.C*,壻,sah,siɑꟲ,,,細,sîh ?,seiꟲ,,,,,,,,,
309,4565a. A*,𡗦,kâts,kɑs,,,蓋,kâts,kɑs,,,,,,,,,
310,(5133b). C,巜,kôts,kuɑs,,,儈,kôts,kuɑs,,,,,,,,,
311,(3111b). A,𥢶,???,???,,,裹,kôiʔ,kuɑiᴮ,,,,,,,,,
312,733b. A,𨘇,???,???,,,害,ɡâts,ɡɑs,,,,,,,,,
313,6219b. A*,勱,mrâts,mas,,,萬,mrâts,mas,mâns,muɑnꟲ,,,,,,,
314,556a. A,噲,khrôts,kʰuɑs,,,快,khwêts,kʰuas,,,,,,,,,
315,1867a. A,丯,krêts,kɛs,,,介,krêts,kɛs,,,,,,,,,
316,2846b. B,鄨,pet,pias,,,鷩,pet,pias,,,,,,,,,
317,4102a. A,𡿋,rats,lias,,,厲,rats,lias,,,,,,,,,
318,6008a. A,蠇,???,???,,,賴,râts,lɑs,,,,,,,,,
319,431a. A*,𦭮,???,???,,,陸,ruk,liuk,,,,,,,,,
320,4698a. A*,𢡈,tshots(< k-sots?),tsʰyas,,,毳,tshots(< k-sots?),tsʰyas,,,,,,,,,
321,1878a. A. alt. *,䚭,???,???,,,𦄑,???,???,,,,,,,,,
322,6269b. A,鏏,s-wis,zuis,,,彗,s-wis,zuis,,,,,,,,,
323,790a. A,迣,???,???,,,寘,tes,tśes,,,,,,,,,
324,1250b. A,𠭥,suts or sus,suis,,,贅,tots,tśuas,,,,,,,,,
325,367b. A*,𦺶,???,???,,,芮,nots,ńuas,,,,,,,,,
326,385b. A,芮,nots,ńuas,,,汭,nots,ńuas,,,,,,,,,
327,741a. A,逝,dats,dźas,,,誓,dats,dźas,,,,,,,,,
328,6330a. A,銴,dats,dźas,,,誓,dats,dźas,,,,,,,,,
329,4248a. A,彑,kats,kɨas,,,罽,kats,kɨas,,,,,,,,,
330,4252b. A*,𧲝,???,???,,,罽,kats,kɨas,,,,,,,,,
331,5784a. B,𤣨,dzuts,dzuis,,,瘁,dzuts,dzuis,,,,,,,,,
332,5413a. B,摕,tês,tes,,,螮,tês,tes,,,,,,,,,
333,5301b. C,戾,"rîts, rît","les, let",,,釱,dês,des,,,,,,,,,
334,2795a. A,𨜒,???,???,,,薊,???,???,,,,,,,,,
335,3948b. A,䫔,???,???,,,禊,???,???,,,,,,,,,
336,3515a. B,倗,bə̂ŋ,bəŋ,,,陪,bə̂,bə,,,,,,,,,
337,4762a. A*,䉍,???,???,,,簡,krênʔ,kɛnꟲ,,,,,,,,,
338,2086b. A,𢍪,tə̂ŋ,təŋ,,,鐙,tə̂ŋ,təŋ,,,,,,,,,
339,1172b. A,鞃,khwə̂ŋ,kʰuəŋ,,,穹,khwəŋ,kʰuŋ,,,,,,,,,
340,297b. A*,夢,môŋ,moŋ,,,萌,mrâŋ or mrêŋ ?,mɛŋ,,,,,,,,,
341,2984b. B*,鼆,mrêŋʔ ,mɛŋᴮ,,,黽,mrêŋʔ ,mɛŋᴮ,,,,,,,,,
342,6362a. A,凭,brəŋ(h),bɨŋ(ꟲ),,,馮,brəŋ,bɨŋ,,,,,,,,,
343,2135b. A,𡕮,rəŋ,lɨŋ,,,陵,rəŋ,lɨŋ,,,,,,,,,
344,1774b. A,脀,təŋ,tśɨŋ,,,丞,dəŋ,dzɨŋ,,,,,,,,,
345,6440b. B,𨋬,lhəŋ,śɨŋ,,,抍,lhəŋ,śɨŋ,,,,,,,,,
346,2413b. A,㭁,nəŋ,ńɨŋ,,,仍,nəŋ,ńɨŋ,,,,,,,,,
347,3828a. A,兢,ɡraŋh,ɡɨaŋꟲ,,,矜,ɡrin R!,ɡɨn,,,,,,,,,
348,6288b. A,鉵,???,???,,,同,dôŋ,doŋ,,,,,,,,,
349,3260b. A,宋,sûŋh,souŋꟲ,,,送,sôŋh,soŋꟲ,,,,,,,,,
350,2584b. A,栙,???,???,,,鴻,ɡôŋ = ɡloŋ ?,ɡoŋ,,,,,,,,,
351,2311b. A,䵄,phuŋ,pʰuŋ,,,馮,brəŋ,bɨŋ,,,,,,,,,
352,4955a. A,沖,druŋ,ḍuŋ,,,動,dôŋʔ ,doŋᴮ,,,,,,,,,
353,3007a. A,龓,rôŋ,loŋ,,,聾,rôŋ,loŋ,,,,,,,,,
354,5161b. A,豅,rôŋ,loŋ,,,聾,rôŋ,loŋ,,,,,,,,,
355,3808a. A,艐,???,???,,,䔂,???,???,,,,,,,,,
356,179b. A,璁,tshôŋ,tsʰoŋ,,,蔥,tshôŋ,tsʰoŋ,,,,,,,,,
357,3506b. A,仜,ɡôŋ,ɡoŋ,,,紅,ɡôŋ,ɡoŋ,,,,,,,,,
358,5753b. A*,瓨,ɡôŋ,ɡoŋ,,,洪,ɡôŋ,ɡoŋ,,,,,,,,,
359,596a. B,唪,"pôŋʔ , bôŋʔ ","poŋᴮ, boŋᴮ",,,菶,"pôŋʔ , bôŋʔ ","poŋᴮ, boŋᴮ",,,,,,,,,
360,173b. B,玤,"pôŋʔ , bôŋʔ ","poŋᴮ, boŋᴮ",,,菶,"pôŋʔ , bôŋʔ ","poŋᴮ, boŋᴮ",,,,,,,,,
361,631a. A,哤,mrôŋ,mɔŋ,,,尨,mrôŋ,mɔŋ,,,,,,,,,
362,819a. A,𢓱,???,???,,,螽,tuŋ < tjuŋ,tśuŋꟲ,,,,,,,,,
363,Deleted,,,,,,,,,,,,,,,,,
364,2355b. A,夆,boŋ,buoŋ,,,縫,boŋ,buoŋ,,,,,,,,,
365,(5143b). A,邕,ʔoŋ,ʔuoŋ,,,雝,ʔoŋ,ʔuoŋ,,,,,,,,,
366,2285a. A,𦤘,loŋ,joŋ,,,庸,loŋ,joŋ,,,,,,,,,
367,5096a. A,㙙,roŋʔ,lioŋᴮ,,,隴,roŋʔ,lioŋᴮ,,,,,,,,,
368,5221a. B,鮦,???,???,,,襱,???,???,,,,,,,,,
369,4729b. A,慫,soŋʔ,sioŋᴮ,,,悚,soŋʔ,sioŋᴮ,,,,,,,,,
370,6456a. A*,軵,—,ńoŋᴮ,,,茸,noŋ,ńoŋ,,,,,,,,,
371,900b. C,趽,???,???,,,彭,brâŋ,baŋ,,,,,,,,,
372,483b. C,茻,mâŋʔ,mɑŋᴮ,,,冈,mâŋʔ,muɑŋᴮ,,,,,,,,,
373,5249a. A,魧,kâŋ,kɑŋ,,,岡,kâŋ,kɑŋ,,,,,,,,,
374,3407a. A,㤺,hmâŋ,huɑŋ,,,荒,hmâŋ,huɑŋ,,,,,,,,,
375,1503b. A,䍿,wâŋ,ɣuɑŋ,,,皇,wâŋ,ɣuɑŋ,,,,,,,,,
376,2334a. A,𦨁,wâŋ,ɣuɑŋ,,,皇,wâŋ,ɣuɑŋ,,,,,,,,,
377,4945a. A,潒,lâŋʔ,dɑŋᴮ,,,蕩,lâŋʔ,dɑŋᴮ,,,,,,,,,
