鵠	gouk kouk
事	dẓəᶜ
氏	gieᴮ
市	dźiəᴮ
柿	dẓəᴮ
式	śik
試	śəᶜ
室	śit
是	dźeᴮ
恃	dźəᴮ
侍	dźəᶜ
視	giᴮ giᶜ
示	giᶜ
指	kiᴮ
誓	dźas
嗜	giᶜ
噬	dźas
勢	śas
釋	śak tśʰɑk śak
淅	sek
澤	ḍak
識	śik tśəᶜ
收	śu śuᶜ
叔	śuk
熟	dźuk
手	tśʰuᴮ śuᴮ
守	śuᴮ śuᶜ
首	śuᴮ
受	dźuᴮ
授	dźuᶜ
售	dźuᶜ
獸	śuᶜ
狩	śuᶜ
殊	dźo
誅	ṭo
樞	tśʰo
梳	ṣɑ
書	śɑ
紓	źɑ śɑ
舒	śɑ
輸	śo
秫	źut
菽	śuk
贖	źok
鼠	tśʰɑᴮ śɑᴮ
癙	śɑᴮ
黍	śɑᴮ
數	ṣoᴮ ṣoᶜ ṣɔk
曙	dźɑᶜ
屬	tśok dźok
樹	dźoᴮ dźoᶜ
壴	ṭoᶜ
戍	śoᶜ tśʰoᶜ
束	śok
欶	ṣɔk
述	źut(źuit)
術	źut(źuit)
鉥	źut(źuit)
訹	sut(suit)
誘	juᴮ
署	dźɑᶜ
刷	ṣot ṣuat
雙	ṣɔŋ
水	tśuiᴮ śuiᴮ
睡	dźoiᶜ dźuaiᶜ
稅	śos śuas
挩	śot śuat
吮	źunᴮ źuinᴮ
順	źuinᶜ źunᶜ
循	zuin ziun
馴	zuin ziun
瞬	śuinᶜ
眴	hwenᶜ suin
爍	śɑuk śɑk
鑠	śɑuk śɑk
爚	jɑuk jɑk
瀹	jɑuk jɑk
曜	jɑuᶜ jauᶜ dzi
耀	jɑuᶜ jauᶜ
燿	jɑuᶜ jauᶜ
司	siə
私	siᴮ
絲	siə
訾	tsieᴮ zie
死	siᴮ
四	siᶜ
肆	siᶜ
泗	siᶜ
似	ziəᴮ
兕	ziᴮ
耜	ziəᴮ
嗣	ziəᶜ
松	zioŋ
崧	suŋ
嵩	suŋ
聳	sioŋᴮ tsʰioŋᶜ tsʰoŋᶜ
竦	sioŋᴮ tsʰioŋᶜ tsʰoŋᶜ
縱	tsioŋᶜ tsoŋᴮ
悚	sioŋᴮ tsʰioŋᶜ tsʰoŋᶜ
駷	sioŋᴮ tsʰioŋᶜ tsʰoŋᶜ
送	soŋᶜ
訟	zioŋ zioŋᶜ
誦	zioŋᶜ
搜	ṣu so soᴮ
獀	ṣu
叟	soᴮ
瞍	soᴮ
藪	soᴮ
嗽	soᶜ
漱	ṣuᶜ
縮	ṣuk
俗	ziok
泝	sɑᶜ
愬	sɑᶜ
訴	sɑᶜ
素	sɑᶜ
夙	suk
宿	suk suᶜ
粟	siok tsʰok
速	sok
勗	hiok
蔌	sok
肅	suk
蒋	suk ṣu
修	su deu
酸	suɑn son
蒜	sonᶜ suɑnᶜ
算	sonᴮ sonᶜ suɑnᴮ suɑnᶜ
綏	sui
妥	tʰuɑiᴮ
隨	zyɑi
髓	syɑiᴮ tsʰyɑiᴮ
歲	syas
遂	zuis
遹	jut wit
穗	zuis
孫	suən
飧	suən
損	suənᴮ
遜	suənᶜ
巽	suənᶜ
所	ṣɑᴮ
瑣	suɑiᴮ soiᴮ
他	tʰɑi
誻	dəp
沓	dəp
詍	jas
眔	dəp
遝	dəp
台	tʰə jə
治	ḍəᶜ
苔	də
嬯	də
臺	də
犇	dɑs des
貪	tʰəm
探	tʰəm
灘	tʰɑn
覃	dəm jamᴮ
潭	dəm
譚	dəm
炎	dɑm jam wam
惔	dɑm
談	dɑm
詹	tśam
檀	dɑn
袒	dɑnᴮ
襢	dɑnᴮ ṭanᴮ ṭanᶜ
坦	tʰɑnᴮ
黮	tʰəmᴮ dəmᴮ
炭	tʰɑnᶜ
鏜	tʰɑŋ
闐	den
唐	dɑŋ
塘	dɑŋ
滔	tʰou dou
慆	tʰou
韜	tʰou
匋	dou
陶	dou
桃	dɑu
逃	dɑu
洮	tʰɑu
貣	tʰək
特	dək
犆	dək
慝	tʰək
疼	douŋ
騰	dəŋ
梯	tʰei
剔	tʰek
鬄	tʰek
提	de teᴮ
題	de
禔	tśe
啼	de
蹄	de
體	tʰeiᴮ
涕	tʰeiᶜ tʰeiᴮ
逖	tʰek
惕	tʰek
趯	tʰek tʰeuk
添	tʰem
恬	dem
甜	dem
填	dein den
瑱	tʰeinᶜ tʰenᶜ
舔	tʰemᴮ
煔	tʰemᴮ tʰemᶜ
𤈛	tʰemᴮ tʰemᶜ
挑	tʰeu
條	deu tʰeu
窕	deuᴮ
跳	deuᶜ
呫	tʰep
鐵	tʰet
聽	tʰeŋ tʰeŋᶜ
亭	deŋ
停	deŋ
庭	deŋ
莛	deŋ
筳	deŋ
挺	tʰeŋᴮ
梃	deŋᴮ
恫	tʰoŋ
痛	tʰoŋᶜ
通	tʰoŋ
同	doŋ
銅	doŋ
筒	doŋ
筩	doŋ
童	doŋ
僮	doŋ
瞳	tʰoŋ
桶	tʰoŋᴮ
偷	tʰo
脫	dot tʰuɑt tʰot duɑt
投	do
歈	do
頭	do
突	duət tʰuət
途	dɑ
涂	dɑ
塗	dɑ
徒	dɑ
土	tʰɑᴮ
吐	tʰɑᴮ tʰɑᶜ
兔	tʰɑᶜ
團	duɑn don
摶	duɑn don
漙	duɑn don
縳	ḍionᴮ ḍuɑnᴮ
膞	dź/tśuanᴮ dź/tśionᴮ
彖	tʰonᶜ tʰuɑnᶜ
推	tʰuəi
退	tʰuəs
駾	dos tʰos duɑs tʰuɑs
吞	tʰən
暾	tʰuən
純	duən
豚	duən
臀	duən
阤	ḍɑiᴮ ḍeᴮ
鼉	dɑi dɑn
隋	tʰoiᴮ doiᴮ
拓	tʰɑk
橐	tʰɑk
蘀	tʰɑk
蛙	Ɂuɛ
窪	Ɂuɛ
洼	Ɂue
外	ŋuɑs
灣	Ɂuan
頑	ŋuan
宛	ʔyɑnᴮ
婉	Ɂyɑnᴮ Ɂiɑp
苑	Ɂyɑnᴮ Ɂiut also Ɂyɑnᴮ
碗	Ɂuɑnᴮ
腕	Ɂuɑnᶜ
萬	miɑnᶜ
汪	Ɂuɑŋ
亡	muɑŋ
忘	muɑŋ muɑŋᶜ
罔	muɑŋᴮ
王	wɑŋ wɑŋᶜ
往	wɑŋᴮ
枉	Ɂyɑŋᴮ
網	muɑŋᴮ
妄	muɑŋᶜ
望	muɑŋᴬ muɑŋᶜ muɑŋ
逶	Ɂyɑi
萎	Ɂyɑi Ɂioi
威	Ɂui
畏	Ɂuiᶜ
危	ŋyɑi ŋioi
惟	wi
唯	wi
隹	wi tśui
維	wi
為	wɑi wɑiᶜ
圍	wui
違	wui
諱	huiᶜ
微	mui
巍	ŋui
魏	ŋuiᶜ
尾	muiᴮ
委	Ɂioiᴮ Ɂyɑiᴮ
緯	wuiᶜ
緷	wunᶜ
亹	muiᴮ
勿	mut
未	mus
味	mus
位	wəs
踈	wiᶜ
蜼	wiᶜ luiᴮ
衛	was wes
胃	wus
謂	wə(t)s
鬱	Ɂut
餧	Ɂuiᶜ
溫	Ɂuən
文	mun
蚊	mun
聞	mun
問	munᶜ
吻	munᴮ
紊	munᶜ
翁	Ɂoŋ
瓮	Ɂoŋᶜ
甕	Ɂoŋᶜ
罋	Ɂoŋᶜ
我	ŋɑiᴮ
沃	Ɂɑuk
臥	ŋuɑiᶜ
幄	ʔɔk
汙	Ɂuɑ
巫	muɑ
誣	muɑ
焉	Ɂɑn Ɂiɑn
烏	Ɂɑ
鴉	Ɂa
毋	muɑ
吾	ŋɑ
吳	ŋuɑ
無	muɑ
蕪	muɑ
廡	muɑ muɑᴮ
午	ŋɑᴮ
五	ŋɑᴮ
武	muɑᴮ
侮	muoᴮ
舞	muɑᴮ
甒	muɑᴮ
兀	ŋuət
刖	ŋyɑt ŋuat
扤	ŋuət
物	mut
悟	ŋɑᶜ
寤	ŋɑᶜ
啎	ŋɑᶜ
迕	ŋɑᶜ
晤	ŋɑᶜ
捂	ŋɑᶜ
忤	hiɑi
蘁	ŋɑᶜ ŋɑk
務	muoᶜ
霧	muoᶜ
夕	ziak
西	sei sen also
棲	sei sen also
栖	sei sen also
吸	hip
析	sek
昔	siak
息	sik
溪	kʰe
犀	sei
希	hii
睎	hii
膝	sit
悉	sit
蠵	Ɣue
犧	hiɑi
用	joŋᶜ
席	ziak ziɑk
習	zip
肄	jis
洗	seiᴮ
徙	sieᴮ
枲	siəᴮ
喜	hiəᴮ
狶	hii hiiᴮ
屣	ṣieᴮ
系	geᶜ
繫	geᶜ keᶜ
係	keᶜ
細	seᶜ
戲	hiɑiᶜ
嘕	hiɑn
潟	siak
呷	hap
赮	ga
瑕	ga
霞	ga
騢	ga
下	gaᴮ gaᶜ
暇	gaᶜ
先	sen senᶜ
仙	sian
僊	sian
鮮	sian sianᴮ
纖	siam
涎	lanᴮ zian janᶜ
咸	gɛm
鹹	gɛm
閑	gɛn
攔	lɑn
汐	grɛn
銜	gam
燅	ziam
毨	senᴮ
銑	senᴮ
險	hiɑmᴮ hiamᴮ
尟	sianᴮ
癬	sianᴮ tsʰiɑnᴮ
顯	henᴮ
陷	gɛmᶜ
錎	gɛmᶜ
霰	senᶜ
線	sianᶜ
羨	zianᶜ
獻	hiɑnᶜ
憲	hiɑnᶜ
甗	ŋiɑnᴮ ŋiɑnᶜ
縣	genᶜ guen
相	siɑŋ siɑŋᶜ
想	siɑŋᴮ
香	hiɑŋ
纕	siɑŋ
卿	hiɑŋᶜ hiɑŋ
庠	ziɑŋ
祥	ziɑŋ
詳	ziɑŋ
翔	ziaŋ
徉	jaŋ
饟	śɑŋᴮ
餉	śɑŋᴮ
鄉	hiɑŋᴮ
饗	hiɑŋᴮ
享	hiɑŋᴮ
響	hiɑŋᴮ
向	hiɑŋᶜ
嚮	hiɑŋᶜ
巷	gɔŋᶜ
項	gɔŋᴮ
象	ziɑŋᴮ
像	ziɑŋᴮ
佯	jɑŋ
削	siɑuk siauᶜ siɑk
消	siau
銷	siau
捎	seu
梟	keu
小	siauᴮ
肖	siauᶜ
俏	tsʰiauᶜ
曉	heuᴮ
笑	siauᶜ tsʰiauᶜ
校	gauᶜ
嘯	seuᶜ
箾	seu
斅	gɔuᶜ
脅	hiap
協	gep
寫	siaᴮ
瀉	siaᶜ
泄	siat jas
洩	siat jas jas
紲	siat
絏	siat
鞢	siat
蟹	gɛᴮ
屧	sep
心	sim
辛	sin
新	sin
薪	sin
欣	hin
尋	zim
爓	zim
信	sinᶜ
訊	sinᶜ
恂	suin sun
狌	sieŋ
星	seŋ tsʰeŋ dzieŋ
猩	seŋ
腥	seŋ seŋᶜ
興	hiŋ
馨	heŋ
形	geŋ
擤	hiŋᶜ
性	sieŋᶜ
姓	sieŋᶜ
兄	hyaŋ
凶	huoŋ
兇	hioŋ
匈	hioŋ
雄	wuŋ
熊	wəm
煦	hioᴮ hioᶜ hioŋᴮ
休	x(ɨ)u
羞	su
脩	su
溲	ṣuᴮ ṣu
糔	ṣuᴮ
潃	suᴮ
秀	suᶜ
袖	ziuᶜ
褎	juᶜ ziuᶜ
胥	siɑ
須	sio
鬚	sio
需	sio
嬃	sio
徐	ziɑ
湑	sɑ sɑᴮ
濾	liɑh
諝	siɑᴮ
擬	sioᴮ
序	ziɑᴮ
敘	ziɑᴮ
緒	ziɑᴮ
卹	sut
烜	hyɑnᴮ
頊	hiok
酗	hioᶜ
續	ziok
宣	syan
暖	hyɑn hyɑnᴮ
玄	Ɣuen
旋	zyan
懸	guen
泫	Ɣuenᴮ
湲	wen wan
眩	Ɣwen Ɣwenᶜ
炫	Ɣ(u)enᶜ
學	gɔk
雪	siot syat
血	huet
嗀	hɔk hok
熏	hun
燻	hun
焄	hun
芸	wun
訓	hunᶜ
逡	sunᶜ suinᶜ
壓	Ɂap
牙	ŋa
芽	ŋa
砺	Ɂa
雅	ŋaᴮ
亞	Ɂaᶜ
御	ŋaᶜ ŋiɑᶜ
迓	ŋaᶜ
訝	ŋaᶜ
顏	ŋan
咽	Ɂen Ɂein Ɂeinᶜ Ɂenᶜ
嚥	Ɂeinᶜ Ɂenᶜ
淹	Ɂiɑm
猒	Ɂiam Ɂiamᶜ
沿	juan jon
緣	juan jon juanᶜ jonᶜ
燄	jamᴮ
剡	jamᴮ
言	ŋiɑn
延	jan
筵	jan
研	ŋen
硯	ŋenᶜ
巖	ŋam
嚴	ŋiɑm
儼	ŋiɑmᴮ
鹽	jam jamᶜ
衍	janᴮ janᶜ
演	janᴮ
奄	Ɂiɑmᴮ
掩	Ɂiɑmᴮ
弇	ʔɨamᴮ
偃	Ɂiɑnᴮ
匽	Ɂiɑnᴮ Ɂiɑnᶜ
眼	ŋɛn ŋənᴮ
酓	Ɂiamᴮ
黶	Ɂiamᴮ
宴	Ɂenᶜ
燕	Ɂenᶜ Ɂenᴮ
晏	Ɂanᶜ Ɂenᶜ
雁	ŋanᶜ
鴳	Ɂanᶜ
鷃	Ɂanᶜ
唁	ŋiɑnᶜ
諺	ŋiɑnᶜ
豔	jamᶜ
央	Ɂiɑŋ
秧	Ɂiɑŋ
殃	Ɂiɑŋ
羊	jɑŋ
蜑	jɑŋ
瘍	jɑŋ
恙	jɑŋᶜ
洋	jɑŋ
揚	jɑŋ
鍚	jɑŋ
陽	jɑŋ
暘	jɑŋ
楊	jɑŋ
仰	ŋiɑŋᴮ
養	jɑŋᴮ jɑŋᶜ
癢	jɑŋᴮ
么	Ɂeu
妖	Ɂiɑu
腰	Ɂiau
要	Ɂiau
窯	jau
搖	jau
媱	jau
夭	Ɂiɑuᴮ
殀	Ɂiɑuᴮ
舀	ju jauᴮ
杳	Ɂeuᴮ
窅	Ɂeuᴮ
窔	Ɂeuᶜ
穾	Ɂeuᶜ
藥	jɑuk jɑk
噎	Ɂet Ɂeit
饐	Ɂeis Ɂes
殪	Ɂis
也	jaᴮ
冶	jaᴮ
野	jaᴮ
夜	jaᶜ
液	jak
饁	wɑp jɑp
葉	jɑp
裔	jas
燁	wap jəp
業	ŋiɑp
一	Ɂit
伊	Ɂi
衣	Ɂii Ɂiiᶜ
依	Ɂii
隱	Ɂinᶜ Ɂinᴮ
翳	Ɂei Ɂeih
扆	Ɂiiᴮ
醫	Ɂiə
貽	jə
胤	jinᶜ
賸	Ɂiŋᶜ
侇	ji
迤	jɑi
迆	jɑi
易	jek jeᶜ
儀	ŋiɑi
宜	ŋiɑi
義	ŋiɑiᶜ
議	ŋiɑiᶜ
詣	ŋeiᶜ
遺	wi wih wis
疑	ŋiə
已	jəᴮ
以	jəᴮ
倚	Ɂiɑiᴮ
猗	Ɂiɑiᴮ
蟻	ŋiaiᴮ
螘	ŋiiᴮ
弋	jək
刈	ŋiɑs
亦	jak
腋	jak
掖	jak
役	wek
邑	Ɂip
軼	jit det
泆	jit jit det
溢	jit
勩	jas
抴	jat jas
益	Ɂiek
嗌	Ɂiek
縊	Ɂeᶜ
翼	jək
意	Ɂiəᶜ
憶	Ɂiək
臆	Ɂiək
熠	jəp wəp
藝	ŋias
簿	ŋiiᶜ ŋis
繹	jak jɑk
因	Ɂin
茵	ʔin
湮	Ɂin
堙	Ɂin
闉	Ɂin
陰	Ɂim Ɂimᶜ
蔭	Ɂimᶜ
冘	jim
垠	ŋɨən
淫	jim
尹	junᴮ juinᴮ
引	jinᴮ
靷	jinᶜ
絼	ḍinᴮ
紖	ḍinᴮ
飲	Ɂimᴮ Ɂimᶜ
螾	jinᴮ
蚓	jinᴮ
英	Ɂiaŋ
鷹	Ɂiŋ
膺	Ɂiŋ
應	Ɂiŋᶜ Ɂiŋ
嬰	Ɂieŋ
盈	jeŋ
嬴	jeŋ
熒	Ɣueŋ
瑩	waŋ
營	weŋ
塋	weŋ
縈	Ɂyeŋ
蠅	jiŋ
影	Ɂiaŋᴮ
癭	Ɂieŋᴮ
邕	Ɂioŋ
雍	Ɂioŋᴮ Ɂioŋᶜ
壅	Ɂioŋᴮ Ɂioŋᶜ
癰	Ɂioŋ
饔	Ɂioŋ
庸	joŋ
永	waŋᴮ
詠	waŋᶜ
泳	waŋᴮ
甬	joŋᴮ
踊	joŋᴮ
禜	waŋ waŋᶜ
攸	ju
悠	ju
由	ju
呦	Ɂiu
幽	Ɂiu
黝	Ɂiuᴮ
櫌	Ɂu
耰	Ɂu
尤	wu
迪	dek deuk
冑	ḍuᶜ
油	ju
斿	ju
游	ju
遊	ju
猶	ju
友	wuᴮ
有	wuᴮ
侑	wuᶜ
酉	juᴮ
庮	ju juᴮ
又	wuᶜ
右	wuᶜ wuᴮ wuᶜ
佑	wuᶜ
祐	wuᶜ
宥	wuᶜ
幼	Ɂiuᶜ
徭	Ɂuᶜ
鼬	juᶜ
迂	Ɂyɑ
紆	Ɂyɑ
冤	Ɂyɑn
菸	Ɂiɑ
蔫	Ɂiɑn
爰	wɑn
盂	wɑ
雩	wɑ
余	jɑ
予	jɑᴮ
餘	jɑ
舁	jɑ
譽	jɑ jɑᶜ
俞	jo jo do
揄	jo doᴮ
愉	jo
悅	jot jyat
閱	jot jyat jyɑt jot
踰	jo
逾	jo
愈	joᴮ
瘉	joᴮ
窬	jo do
覦	jo joᶜ
魚	ŋiɑ
隅	ŋio
愚	ŋio
與	jɑ jɑᴮ jɑᶜ
歟	jɑ
邪	ja
輿	jɑ
羽	wɑᴮ
宇	wɑᴮ
雨	wɑᴮ wɑᶜ
禹	wɑᴮ
語	ŋiɑᴮ ŋiɑᶜ
圉	ŋiɑᴮ
圄	ŋiɑᴮ
与	jɑᴮ
芋	wɑᶜ
浴	jok
欲	jok
慾	jok
裕	joᶜ
悆	jɑᶜ
豫	jɑᶜ
禺	ŋioᶜ
飫	Ɂiɑᶜ
禦	ŋiɑᴮ
喻	joᶜ
諭	joᶜ
嫗	Ɂioᴮ Ɂioᶜ
燠	Ɂuk
饇	Ɂioᶜ kʰio
育	juk
毓	juk
鬻	juk tśuk
繘	kuit wit
鳶	juan jon
蜎	Ɂuen
肙	Ɂuen
元	ŋon ŋyɑn
黿	ŋon ŋyɑn
孱	juanᴮ
原	ŋion ŋyɑn
謜	ŋion ŋyɑn
員	wen wian
圓	wen wian
圜	wen wian
院	wanᶜ/wenᶜ
瑗	wanᶜ/wenᶜ
猿	wɑn
園	wɑn
遠	wɑnᴮ wɑnᶜ
怨	Ɂyɑnᶜ
願	ŋyɑnᶜ ŋionᶜ
曰	wɑt
約	Ɂiɑk Ɂiɑuk Ɂiauᶜ
噦	Ɂiot Ɂyɑt
月	ŋyɑt ŋiot
戉	wɑt
鉞	wɑt
岳	ŋɔk
嶽	ŋɔk
籥	jɑuk jɑk
勻	win
云	wun
耘	wun
雲	wun
允	junᴮ juinᴮ
隕	winᴮ
殞	winᴮ
霣	winᴮ
孕	jiŋᶜ
𣎜	źiŋᶜ
運	wunᶜ
暈	wunᶜ
蘊	Ɂunᴮ Ɂunᶜ
薀	Ɂunᴮ Ɂunᶜ
韞	Ɂunᴮ
慍	Ɂunᶜ
災	tsə
栽	tsə dzəᶜ
哉	tsə
載	tsəᶜ dzəᶜ tsəᴮ
在	dzəᴮ
仔	tsiə tsiəᴮ
再	tsəᶜ
茲	tsi
簪	tṣəm tsəm
譖	tṣəmᶜ
臧	tsɑŋ
傮	tsou
遭	tsou
綜	tsuŋᶜ
卒	tsuət tsut tsuit
早	tsouᴮ
蚤	tsouᴮ
澡	tsɑuᴮ
皂	dzouᴮ
則	tsək
責	tṣɛk
債	tṣaiᶜ
擇	ḍak
笮	tṣak
矠	dẓɛk
賊	dzək
曾	tsəŋ
增	tsəŋ
憎	tsəŋ
橧	tsəŋ
甑	tsiŋ
奓	ṭai
札	tṣɛt
瘵	tṣɛs
廌	ḍɛᴮ
占	tśam
瞻	tśam
沾	ṭam
霑	ṭam
展	ṭɑnᴮ ṭɑnᶜ
斬	tṣɛmᴮ
棧	dẓanᴮ dẓɛnᶜ dẓɛnᴮ
張	ṭɑŋ ṭɑŋᶜ
帳	ṭɑŋᶜ
章	tśɑŋ
獐	tśɑŋ
丈	ḍɑŋᴮ
杖	ḍɑŋᴮ ḍɑŋᶜ
障	tśɑŋᶜ
鉊	keu kiau tśau
招	tśau
昭	kiau tśau
炤	kiauᶜ tśauᶜ
照	kiauᶜ tśauᶜ
爪	tṣauᴮ
召	ḍɑuᶜ
詔	tśauᶜ
兆	ḍɑuᴮ
濯	ḍɔk ḍauᶜ
著	ṭɑᶜ ṭɑk ḍɑk
耴	ṭɑp
折	tśat dźat
疹	ṭʰinᶜ
畛	tśinᴮ
朕	ḍimᴮ
震	tśinᶜ
娠	tśin
正	tśeŋᶜ tśeŋ
征	tśeŋ
爭	tṣɛŋ
整	tśeŋᴮ
證	tśiŋᶜ
之	tśə
志	tśəᶜ
止	tśəᴮ
趾	tśəᴮ
汁	kip
支	kie
枝	kie
肢	kie
知	ṭe
智	ṭeᶜ
隻	tśek
只	tśeᴮ
桎	tśit
祗	tśi
脂	tśi
遲	ḍi ḍiᶜ
織	tśik tśəᶜ
直	ḍik
職	tśik
值	ḍəᶜ
殖	dźik
植	dźik ḍəᶜ
稙	dźik ḍəᶜ ṭik
姪	ḍet det
執	tśip
摯	tśiᶜ
鷙	tśiᶜ
縶	ṭip
馽	ṭip
蟄	ḍip
樴	tśik
沚	tśəᴮ
旨	kiᴮ
厎	tśiᴮ
紙	tśiɑiɁ kiɑiɁ
黹	ṭiᴮ
紩	ḍit
緻	ḍis
至	tśis
致	ṭis
蛭	tet tśit ṭit
輊	ṭis
銍	ṭit
窒	ṭit
陊	ḍeᴮ
忮	kieᶜ
痣	tśəᶜ kiəᶜ
陟	ṭik
躓	ṭis
懥	ṭʰis tśis
懫	ṭʰis tśis
質	tśit
置	ṭəᶜ
彘	ḍas
雉	ḍiᴮ
制	tśas
製	tśas
仲	ḍuŋᶜ
忠	ṭuŋ
妐	tśuŋ
終	tśuŋ
螽	tśuŋ
冢	ṭoŋᴮ
塚	ṭoŋᴮ
種	tśoŋᴮ tśoŋᶜ
腫	tśoŋᴮ
踵	tśoŋᴮ
尰	dźoŋᴮ
湩	toŋᶜ ṭoŋᶜ
眾	tśuŋ
舟	tśu
輈	ṭu
洲	tśu
渚	tśɑᴮ
周	tśu
粥	tśuk
皺	tṣu
縐	tṣuᶜ
肘	ṭuᴮ
祝	tśuk tśuᶜ
晝	ṭuᶜ
啄	tok ṭɔk ṭuᶜ toᶜ
咮	ṭuᶜ toᶜ
朱	tśo
豬	ṭɑ
竹	ṭuk
逐	ḍuk
燭	tśok
躅	ḍok
住	ḍoᶜ
築	ṭuk
主	tśoᴮ
拄	ṭoᴮ
麈	tśoᴮ
煮	tśɑᴮ
貯	ṭɑᴮ
褚	ṭɑᴮ
斸	ṭok
斲	ṭɔk
佇	ḍɑᴮ
羜	ḍɑᴮ
苧	ḍɑᴮ
紵	ḍɑᴮ
注	tśoᶜ ṭoᶜ
鑄	tśoᶜ
柱	ḍoᴮ
禂	touᶜ touᴮ
助	dẓɑᶜ
囃	ḍɑᴮ
箸	ḍɑᶜ
抓	tṣauᴮ tṣauᶜ
專	tśon
轉	ṭonᴮ ṭuanᴮ
狀	dẓɑŋᶜ
鵻	tśui
騅	tśui
追	ṭui
墜	ḍus
贅	tśuas tśos
卓	ṭɔk
勺	tśɑk dźɑk
酌	tśɑk
灼	tśauk tśɑk
斫	tśɑk
梲	tśuat tśot
綴	ṭot ṭos ṭuas ṭuat
滋	tsiə
玆	tsiə
資	tsi
菑	tṣiə tṣiəᶜ
椔	tṣiəᶜ
緇	tṣiə
子	tsiəᴮ tsiəᶜ
孳	dziəᶜ
字	dziəᶜ
耔	tsiəᴮ
姊	tsiᴮ
自	dziᶜ
剚	tṣiəᶜ
宗	tsouŋ
陬	tso tsio
騶	tṣu dẓuᶜ
走	tsoᴮ
奏	tsoᶜ
驟	dẓuᶜ
足	tsiok
祖	tsɑᴮ
鑽	tson tsuɑn
觜	tsie tsyeᴮ
醉	tsuis tsus
罪	dzuəiᴮ
尊	tsuən
撙	tsuənᴮ
昨	dzɑk
左	tsɑiᴮ tsɑiᶜ
佐	tsɑiᶜ
坐	dzoiᴮ dzuɑiᴮ dzuɑiᶜ dzoiᶜ
作	tsɑk
鑿	dzɑk dzɑuk dzɑuᶜ
菴	ʔəm ʔɨam
毎	məʔ
煩	buan
歩	bɑh
矛	mu
鶩	muoh
縻	mɨe
陁	ḍiaiʔ
騨	dɑi dan
嚢	nɑŋ naŋ
儾	nɑŋ
弾	dan
埿	nei neiʔ neih
耐	nəh
旎	ṇe
膩	ṇis
縢	dəŋ
杼	ḍiɑʔ
藤	dəŋ
迺	nəʔ
砮	nɑ naʔ
曇	dəm
埃	ʔə
榎	kah
朴	pok
蛾	ŋɑi
峨	ŋai
碍	ŋəh
祇	kie ɡɨi gɨi
𡺸	ɡɨ
碁	ɡɨə
馭	ŋîɑ
娯	ŋyɑ ŋuɔ
虞	ŋyɑ
誤	ŋuɑh ŋuoh
呉	ŋuɑ ŋuɔ
霓	ŋe ŋet
異	jəh
怡	jə
印	ʔinh
壹	ʔit
迦	ka
訶	hɑi
哥	kɑi
珂	khɑi
伽	ɡa
舸	khɑi
髪	puɑt
韓	ɡan
葛	kɑt
擧	kɨɑʔ
該	kə
慨	khəh
概	kəh
凱	khəi
愷	khəi
笥	siəh
枳	kieʔ
棄	khis
伎	kie
許	hɨɑ
虚	hɨɑ
莒	kɨɑʔ
垝	kyaiʔ
玖	ku kɨu
倶	kɨo
絇	ɡɨo
窶	ɡuo
屨	kuo
菊	kuk
綺	khʔaiʔ
黄	ɣuaŋ
觚	kua kuɔ
祜	ɡɑʔ ɡɔʔ
鷄	ke
啓	kheiʔ
滿	manʔ
眞	tśin
幕	mak
茂	muh
藻	tsauʔ
裙	ɡun
没	muət
模	ma mɔ
无	mua
鵡	muaʔ
儛	muɑʔ
冉	ńamʔ
禰	neʔ
嶺	lieŋʔ
貳	ńis ńih
儞	neʔ
瓊	ɡyeŋ
廼	nəʔ
笶	śiʔ
箆	bi bei
沼	tśauʔ
潤	ńuinh
淤	ʔɨɑ
音	ʔɨm
乙	ʔɨt
伴	pʰanh
絆	panh
泊	bak
盤	ban
者	tśaʔ
閇	pes pet
俳	bɛi
珮	bəh
戸	ɡɑʔ ɡɔ
檜	kuɑs kuat
氷	pɨŋ
費	pʰus
袍	bou
焰	ziam zim
赴	pʰuoh
経	keŋ keŋh
歴	lek
斐	pʰuiʔ
祕	pɨs
菩	bo
褒	pou
辧	bɨanh
覇	pah pʰak
幣	bias
陛	beiʔ
鼙	be
鞞	pieʔ
邏	lɑi lɑ
良	liaŋ
莨	lɑŋ
囉	lɑi lɑ
攞	lɑi lɑ
戻	let les
黎	lei
隣	lin
侶	liɑʔ
閭	lia
稜	lɨŋ
綾	lɨŋ
屢	lioh
樓	lo
娑	sai
舎	śaʔ śah
瑳	tshɑiʔ
尺	tśhak
戔	dzan
贊	tsanh
讃	tsanh
匝	tsəp
瀬	lɑs
湍	tʰuɑn
迫	pak
紫	tsieʔ
寺	ziəh
偲	siə
璽	sieʔ
始	śəʔ
伺	siə siəh
絁	śɑi
爲	wɑi wai
磯	kɨi
鍾	tśoŋ
鐘	tśoŋ
餝	śɨk
拭	śɨk
噌	səŋ
僧	səŋ
贈	dzəŋh
州	tśu
珠	tśo
衆	tśuŋh
蒭	tṣho
樔	dẓau
簀	tṣɛk
淑	dźuk
駿	tsuinh
託	tʰak
陀	dai
柁	ṭiaiʔ
柂	ṭiaiʔ
宕	daŋh
倓	dam damh
塔	tʰap
鞮	te de
弖	teiʔ
諦	teh
點	temʔ
笞	ṭʰiə
馳	ḍiai
鎭	ṭin
茅	mɔu
敕	ṭʰɨk
秩	ḍit
鄧	dəŋh
迹	tsiak
徳	tək
菟	tʰɑ tʰɔ tʰa
